name,module,stable_url,http_status,resolved_url,latest_url,latest_http_status
saturday?,dates,https://arturo-lang.io/documentation/library/dates/saturday-,200,https://arturo-lang.io/documentation/library/dates/saturday-,https://arturo-lang.io/latest/documentation/library/dates/saturday-,200
sunday?,dates,https://arturo-lang.io/documentation/library/dates/sunday-,200,https://arturo-lang.io/documentation/library/dates/sunday-,https://arturo-lang.io/latest/documentation/library/dates/sunday-,200
thursday?,dates,https://arturo-lang.io/documentation/library/dates/thursday-,200,https://arturo-lang.io/documentation/library/dates/thursday-,https://arturo-lang.io/latest/documentation/library/dates/thursday-,200
today?,dates,https://arturo-lang.io/documentation/library/dates/today-,200,https://arturo-lang.io/documentation/library/dates/today-,https://arturo-lang.io/latest/documentation/library/dates/today-,200
tuesday?,dates,https://arturo-lang.io/documentation/library/dates/tuesday-,200,https://arturo-lang.io/documentation/library/dates/tuesday-,https://arturo-lang.io/latest/documentation/library/dates/tuesday-,200
wednesday?,dates,https://arturo-lang.io/documentation/library/dates/wednesday-,200,https://arturo-lang.io/documentation/library/dates/wednesday-,https://arturo-lang.io/latest/documentation/library/dates/wednesday-,200
arithmeticError,exceptions,https://arturo-lang.io/documentation/library/exceptions/arithmeticerror,200,https://arturo-lang.io/documentation/library/exceptions/arithmeticerror,https://arturo-lang.io/latest/documentation/library/exceptions/arithmeticerror,200
assertionError,exceptions,https://arturo-lang.io/documentation/library/exceptions/assertionerror,200,https://arturo-lang.io/documentation/library/exceptions/assertionerror,https://arturo-lang.io/latest/documentation/library/exceptions/assertionerror,200
conversionError,exceptions,https://arturo-lang.io/documentation/library/exceptions/conversionerror,200,https://arturo-lang.io/documentation/library/exceptions/conversionerror,https://arturo-lang.io/latest/documentation/library/exceptions/conversionerror,200
indexError,exceptions,https://arturo-lang.io/documentation/library/exceptions/indexerror,200,https://arturo-lang.io/documentation/library/exceptions/indexerror,https://arturo-lang.io/latest/documentation/library/exceptions/indexerror,200
libraryError,exceptions,https://arturo-lang.io/documentation/library/exceptions/libraryerror,200,https://arturo-lang.io/documentation/library/exceptions/libraryerror,https://arturo-lang.io/latest/documentation/library/exceptions/libraryerror,200
nameError,exceptions,https://arturo-lang.io/documentation/library/exceptions/nameerror,200,https://arturo-lang.io/documentation/library/exceptions/nameerror,https://arturo-lang.io/latest/documentation/library/exceptions/nameerror,200
packageError,exceptions,https://arturo-lang.io/documentation/library/exceptions/packageerror,200,https://arturo-lang.io/documentation/library/exceptions/packageerror,https://arturo-lang.io/latest/documentation/library/exceptions/packageerror,200
